IE_NAME;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_CODE
Идиллия;/upload/iblock/66f/66f8007cdff47abccae34cbf4e0579eb.jpg;"<br>
 &nbsp; <br>
 &nbsp; Межрегиональная ремонтно-строительная компания «Идиллия» основана в 2003 году. <br>
&nbsp; Сферой деятельности компании является Краснодарский край и Поволжский регион, Самарская, Ульяновская, Саратовская, а также Пензенская и Оренбургские области. МРСК «Идиллия» идет в ногу со временем благодаря высокотехнологичному подходу к строительному бизнесу, опыту высококлассных специалистов, собственной материально-технической базе.<br>
&nbsp; Успешное и динамичное развитие во многом обеспечены вниманием, которое специалисты МРСК «Идиллия» уделяют деталям.<br>
 В каждый объект вкладываются не только знания, умения и навыки, но и частица души.<br>
&nbsp; В Сочи компания реализовала несколько жилых комплексов комфорт-класса в различных районах города.";idilliya
СТРОЙГРАДЬ;;;stroygrad
ЮгСпецСтрой;/upload/iblock/52c/52c98b0ba413a94a5c1844e77e7c3247.png;"

  Компания ООО «ЮгСпецСтрой» создана 17 ноября 2008 года.";yugspetsstroy
СаМиН;;"	
  Компанией ООО ""СаМиН"" построено и введено в эксплуатацию два многоэтажных общественно-жилых комплекса один из которых класса ""премиум"" со встроенными коммерческими помещениями ресторанами и магазинами в Центральном р-не г.Сочи общей площадью - 3 680 м2. У компании ООО ""СаМиН"" богатый опыт строительства в стесненных условиях старой городской застройки с учетом сохранения исторического архитектурного облика и стиля.";samin
Наш Дом;/upload/iblock/e23/e23e974ed468497a67350ade3920f5db.jpg;"  
 
   На сегодняшний день компания ООО ""Наш Дом"" представляет собой современную структуру, способную решать самые сложные задачи на любом этапе строительства. ООО ""Наш Дом"" совместно со своими партнёрами выполняет как субподрядные, так и генподрядные работы, а также специальные виды работ, включая буровые работы диаметром свай до 2500 мм, в условиях стесненных территорий, зон повышенной сейсмичности 9 баллов. Все работы выполняются в соответствие с требованиями нормативной и проектной документацией, ГОСТ, СНиП. Сложные и спорные вопросы в процессе работ решаются оперативно и грамотно, всегда предлагается несколько путей решения, при необходимости выполняется пересогласования проектных решений. При выполнении комплекса работ по строительству зданий и сооружений компания ООО ""Наш Дом"" совместно со своими партнёрами зарекомендовала себя как ответственная, исполнительная и компетентная организация, своевременно реагирующая на замечания Заказчика и контролирующих органов.";nash-dom
Сочижилстрой;;  Компания ООО «Сочижилстрой» основана в мае 2003 года с целью строительства жилых объектов в городе Сочи. В данный момент реализовала проект жилого комплекса «Южный берег» состоящего из двух многоэтажных домов. ;sochizhilstroy
РосИнвестСтрой;;"  
  Основная сфера компании «РосИнвестСтрой» – это строительно-монтажные работы. Чтобы организовать эту работу, заранее проектируется конкретный объект и разрабатывается вся рабочая документация. Затем начинается возведение строительных конструкций под авторским надзором, а после этого оформляются фасады. Также происходят отделочные работы общественных помещений и жилых квартир. Проводятся коммуникации и инженерные сети. Важно отметить, что застройщик осуществляет облагораживание территории вокруг дома:  детская площадка, зоны отдыха, паркинг и озеленение. Также компания «РосИнвестСтрой» создает все условия для эксплуатации и качественного обслуживания недвижимости. ";rosinveststroy
РЕМСТРОЙТРЕСТ;/upload/iblock/e8b/e8bb68e8399d4c4b75544f906f128416.png;"  

  Инвестиционно-строительная компания «РЕМСТРОЙТРЕСТ» была зарегистрирована в 1991 году на базе ремонтно-строительного треста Черемушкинского района города Москвы. Свою деятельность компания ведет более 35 лет – с 1978 года. С момента создания и по настоящее время руководителем компании является Заслуженный и Почётный строитель России и Москвы, кавалер ордена ""Святого Станислава"" - Евсеева Галина Николаевна.
  ЗАО «РЕМСТРОЙТРЕСТ» первостепенное внимание уделяет клиентам, которые, в свою очередь, ценят в компании надежность, соблюдение сроков, гарантии и качество работы. Одно из преимуществ ЗАО «РЕМСТРОЙТРЕСТ» - постоянное повышение квалификации сотрудников с изучением современных технологий и методик. Все работы выполняются профессионалами, специалистами высокого уровня. Генеральный директор компании Евсеева Галина Николаевна - человек с огромным опытом (более 50 лет в отрасли), талантливый руководитель, заботящийся о нуждах компании. Благодаря Галине Николаевне в компании найдено оптимальное соотношение между квалифицированными работниками и молодыми специалистами. 
  Инвестиционно-строительная компания «РЕМСТРОЙТРЕСТ» также проводит большую благотворительную деятельность, помогая Российской Православной Церкви возрождать монастыри. Компания оказывала помощь при восстановлении Храма Христа Спасителя, нескольким церквям в Юго-Западном округе Москвы, а также Свято-Троицкому Стефано-Махрищскому женскому монастырю. В 2007 году Евсеева Галина Николаевна была награждена Патриаршей грамотой за усердные труды во славу Русской православной церкви.
  Компания постоянно расширяет свою географию деятельности. Несмотря на то, что основная часть работ выполняется в Москве и Новой Москве, ЗАО «РЕМСТРОЙТРЕСТ» также ведет строительство в Санкт-Петербурге и других регионах России.

";remstroytrest
Ультрамарин;/upload/iblock/0b9/0b99c3c3ba655893983458062650fdaf.png;"  

  Компания ООО «Ультрамарин» занимается строительством и продажей недвижимости с 2002 года в Сочи. Основной род деятельности – это возведение жилых объектов. Так же компания осуществляет реконструкцию и демонтаж сооружений, установку технологического оборудования и положение коммуникаций. ";ultramarin
СГС-Инвест-Консалтинг;;"  
  ООО «СГС-Инвест-Консалтинг» с 2005 года осуществляет инвестиционную, строительную и торговую деятельность на рынке первичной жилой и нежилой недвижимости г.Сочи.  Компанией построен и сдан в эксплуатацию жилой комплекс бизнес-класса «Флагман», а так же ряд объектов коммерции в центре г.Сочи.
";sgs-invest-konsalting
